COD-APPLIC|ENTE|COD-PRESIDIO|ANNO-INIZ-VAL|DESCR-PRESIDIO|COD-COMUNE|DESCR-COMUNE|PROVINCIA|INDIRIZZO|CAP|NR-TELEFONICO|DATA-APERTURA|DATA-CHIUSURA|TIPO-1|TIPO-2|TIPO-3|TIPO-4|S01|S02|S03|S04|S05|S06|S07|S08|S09|S10|S11|PRESIDIO-SPORT|PRESENZA-STS14|RAPPORTO-SSN|INT-EXTRA|PRIV-CONV|COD-IST|OLD-ENTE|OLD-COD-PREST|FLAG-ULT-OP|USER|DATA-ULT-OP|SPECIFICA-S05|LABOR-PUBB|GG-APERTURA|GG-CHIUSURA|S12|EROGANTEAMB
STS-ID|301|000103|2015|CDD L'IPPOCASTANO PIARIO|016163|PIARIO|BG|VIA BEATO PAPA GIOVANNI XXIII|24020|034623949|199501|000000|||X|||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|000303|2015|FONDAZIONE CASA DI RIPOSO RSA OSPEDALE MILESI ONLUS|016118|GROMO|BG|VIA BETTUNO ALTO 9|24020|034641036|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|000402|2015|FONDAZIONE BARTOLOMEASPADA SCHILPARIO VALLE DI SCALVE ONLUS|016195|SCHILPARIO|BG|VIA SOLIVA, 18|24020|034655068|199501|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|000403|2015|C.D.D. FUORI DAL CERCHIO DI VILMINORE DI SCALVE|016243|VILMINORE DI SCALVE|BG|VIA POLINI, 7|24020|034651133|199501|000000|||X|||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|000502|2015|FONDAZIONE  SANT'ANDREA ONLUS|016077|CLUSONE|BG|VIA S. DEFENDENTE 1|24023|034621078|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|000602|2015|FONDAZIONE MARTINO ZANCHI ONLUS|016008|ALZANO LOMBARDO|BG|VIA G. PAGLIA, 23|24022|035513077|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|000702|2015|SERT GAZZANIGA|016111|GAZZANIGA|BG|VIA MANZONI  98|24025|035712935|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|000704|2015|FONDAZIONE CASA S. GIUSEPPE ONLUS |016111|GAZZANIGA|BG|VIA DANTE, 25|24025|035711296|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|000901|2015|FONDAZIONE HONEGGER - CASA ALBERGO - CASA DI RIPOSO|016004|ALBINO|BG|VIA B. CRESPI, 9|24021|035759411|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001002|2015|FONDAZIONE RSA CASA DI RIPOSO NEMBRO ONLUS|016144|NEMBRO|BG|VIA DEI FRATI, 1|24027|035521105|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001003|2015|CENTRO DIURNO DISABILI NEMBRO|016144|NEMBRO|BG|VIA KENNEDY 2|24027|035523477|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|001101|2015|FONDAZIONE I.P.S. CARD.GUSMINI ONLUS|016234|VERTOVA|BG|VIA SAN CARLO ,   30|24029|035737611|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001202|2015|FOND. CECILIA CACCIA IN DEL NEGRO ONLUS|016108|GANDINO|BG|VIA XX SETTEMBRE 19/21|24024|035745160|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001203|2015|CENTRO DIURNO DISABILI GANDINO|016108|GANDINO|BG|VIA RESEDENZA, 10|24024|035745542|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|001301|2015|PENSIONATO CONTESSI-SANGALLI FONDAZIONE ONLUS|016086|COSTA VOLPINO|BG|VIA DEGLI ULIVI, 1|24062|035971101|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001402|2015|SERT LOVERE|016128|LOVERE|BG|PIAZZALE BONOMELLI 8|24065|0354349639|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|001404|2015|COMUNITA' DI BESSIMO|016182|ROGNO|BG|VIA S.FRANCESCO 5 - BESSIMO|24060|035967194|199501|000000||||X||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|001405|2015|COMUNITA'  PER NUCLEI FAMILIARI|016182|ROGNO|BG|VIA  PINETA 7|24060|035977280|199501|000000||||X||||||X||||||||2|2|2|||||||||01|00||0
STS-ID|301|001406|2015|S.M.I. CENTRO A.G.A.|016172|PONTIROLO NUOVO|BG|VIA LOMBARDIA 9|24040|036388894|201012|000000||X|||X||X|||X||||||||2|2|4|||||||||24|00||0
STS-ID|301|001501|2015|CASA DI RIPOSO E FARMACIA DELLA C.D.R. FONDAZIONE ONLUS|016204|SOVERE|BG|VIA SEN. SILVESTRI, 2|24060|035981096|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001502|2015|C.D.D. SOVERE|016204|SOVERE|BG|VIA CANNETO 12|24060|035981996|199501|000000|||X|||||||||||X||||2|2|4|||||||||01|00||0
STS-ID|301|001601|2015|FOND. BEPPINA E FILIPPO MARTINOLI-CASA SERENITA' ONLUS|016128|LOVERE|BG|VIA PIERO GOBETTI, 39|24065|035960792|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001701|2015|CASA DI RIPOSO SAN LORENZO|016223|VALBONDIONE|BG|VIA SAN LORENZO, 1|24020|034644111|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001801|2015|FONDAZIONE CASA RIPOSO INFERMERIA  FILISETTI ONLUS|016012|ARDESIO|BG|VIA DUCA D'AOSTA, 1|24020|034633087|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|001901|2015|CASA DELLA SERENITA'|016070|CENE|BG|VIA B. CAPRI, 7|24020|035718111|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002001|2015|CASA DI RIPOSO S.GIUSEPPE ONLUS|016060|CASNIGO|BG|VIA SANTO SPIRITO , 15|24020|035740027|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002101|2015|FONDAZIONE CASA SERENA LEFFE ONLUS|016124|LEFFE|BG|VIA P. D'ALBERTONI, 65|24026|035731544|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002201|2015|ISTITUTO CLINICO QUARENGHI SRL|016190|SAN PELLEGRINO TERME|BG|VIA SAN CARLO 70|24016|034525111|199501|000000|X||||X|X|X|||||||||||2|1|2|030149||||||||01|00||1
STS-ID|301|002302|2015|PARROCCHIA S. LORENZO OPERA PIA CARITAS RSA CASA MONS. G. SPERANZA|016246|ZOGNO|BG|V.LE MARTIRI DELLA LIBERTA', 6|24019|034591029|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002303|2015|CENTRO DIURNO DISABILI DI ZOGNO|016246|ZOGNO|BG|VIA XI FEBBRAIO, 9|24019|034591512|199501|000000|||X|||||||||||X||||2|2|2|||||||||01|00||0
STS-ID|301|002502|2015|CASA DI RIPOSO OASI SAN PELLEGRINO|016190|SAN PELLEGRINO TERME|BG|VIA PARTIGIANI 14|24016|034522393|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002803|2015|FONDAZIONE DON STEFANO PALLA ONLUS|016164|PIAZZA BREMBANA|BG|VIA MONTE SOLE 2|24014|034582434|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|002902|2015|FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO ONLUS|016170|PONTE SAN PIETRO|BG|VIA MATTEOTTI 5|24036|035611055|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
STS-ID|301|003001|2015|SERT PONTE S.PIETRO|016170|PONTE SAN PIETRO|BG|VIA F. ADDA 18/A|23900|0354163262|199501|000000||X|||X|||||X||||||||1|2|0|||||||||01|00||0
STS-ID|301|003102|2015|FONDAZIONE GIOVANNI CARLO ROTA ONLUS|016007|ALMENNO SAN SALVATORE|BG|VIA REPUBBLICA 1|24031|0356320011|199701|000000||||X|||||||||X|||||2|2|4|||||||||01|00||0
